"[u'rozman', u'uji', u'rm4', u'russia', u'membanteras', u'lalat', u'denda', u'mahb', u'apply', u'civil']","[u'yakni', u'akaun', u'bangladesh', u'adakan', u'resolusi', u'sin', u'kepayan', u'siasat', u'bintangor', u'telefon']","[u'lombong', u'sistematik', u'edar', u'kapita', u'bentang', u'pinggang', u'fta', u'kalimantan', u'called', u'tragedi']","[u'kunjung', u'etp', u'dihebahkan', u'makmur', u'nelayan', u'might', u'pinggir', u'ejen', u'junjung', u'tukar']","[u'rukun', u'timpal', u'bsi', u'jawapan', u'borneo', u'perkeso', u'binti', u'kesah', u'trade', u'ktm']","[u'sme', u'selenggara', u'kompaun', u'world', u'rangkum', u'unsur', u'iklim', u'sosioekonomi', u'demam', u'called']","[u'rejab', u'ayam', u'kongsi', u'paksa', u'ekor', u'bayar', u'kelar', u'filem', u'sjkc', u'kanan']","[u'semak', u'sekutu', u'menggerimander', u'hapus', u'bernas', u'tinggal', u'paksa', u'teruk', u'teroka', u'uitm']","[u'ciri', u'mou', u'loteri', u'ratifikasi', u'cermin', u'131598', u'berbeza', u'korban', u'asb', u'rm69']","[u'kompaun', u'nombor', u'hak', u'likely', u'adu', u'1948', u'duti', u'prinsip', u'gdp', u'pakai']"
"[u'senario', u'laksana', u'sekolah', u'sabah', u'status', u'sarawak', u'pelan', u'bayar', u'gaji', u'kesan']","[u'senario', u'tetap', u'kolam', u'2016', u'hal', u'takung', u'lulus', u'pm225', u'segera', u'akibat']","[u'senario', u'laksana', u'sekolah', u'sabah', u'pelan', u'sarawak', u'status', u'gaji', u'bayar', u'ancang']","[u'senario', u'tetap', u'hal', u'lulus', u'akibat', u'kolam', u'2016', u'kaji', u'segera', u'tangan']","[u'senario', u'laksana', u'sabah', u'sekolah', u'sarawak', u'kaum', u'status', u'kesan', u'bayar', u'jauh']","[u'senario', u'tetap', u'kolam', u'hal', u'lulus', u'pm225', u'2016', u'takung', u'kwsp', u'segera']","[u'senario', u'tetap', u'akibat', u'kesan', u'tangan', u'kaji', u'khas', u'1mdb', u'laksana', u'hal']","[u'senario', u'laksana', u'sekolah', u'sabah', u'status', u'pelan', u'bayar', u'jauh', u'tuju', u'sarawak']","[u'senario', u'laksana', u'sekolah', u'sabah', u'pelan', u'status', u'gaji', u'bekal', u'jauh', u'klinik']","[u'senario', u'laksana', u'sekolah', u'sabah', u'pelan', u'status', u'gaji', u'sarawak', u'klinik', u'suruhanjaya']"
"[u'senario', u'sabah', u'laksana', u'sekolah', u'rancang', u'suruhanjaya', u'bekal', u'sarawak', u'bukit', u'gaji']","[u'senario', u'tetap', u'lulus', u'kolam', u'tanam', u'2016', u'hal', u'pm225', u'pitas', u'bajet']","[u'senario', u'sabah', u'bukit', u'laksana', u'sekolah', u'suruhanjaya', u'kenderaan', u'rancang', u'2013', u'jenayah']","[u'senario', u'tetap', u'lulus', u'tanam', u'hal', u'akibat', u'tangan', u'pm225', u'bajet', u'kolam']","[u'senario', u'sabah', u'laksana', u'sekolah', u'kaum', u'sarawak', u'siasat', u'agama', u'tangan', u'rancang']","[u'senario', u'tetap', u'kolam', u'tanam', u'hal', u'lulus', u'pm225', u'kwsp', u'ibadat', u'uber']","[u'senario', u'tetap', u'tangan', u'akibat', u'halang', u'lulus', u'khas', u'sekolah', u'agama', u'kesan']","[u'senario', u'sabah', u'sekolah', u'laksana', u'suruhanjaya', u'rancang', u'bukit', u'bekal', u'kenderaan', u'jenayah']","[u'senario', u'sabah', u'sekolah', u'laksana', u'rancang', u'suruhanjaya', u'bukit', u'bekal', u'jenayah', u'2013']","[u'senario', u'sabah', u'sekolah', u'suruhanjaya', u'laksana', u'rancang', u'bukit', u'bekal', u'2013', u'gaji']"
"[u'senario', u'sabah', u'laksana', u'tetap', u'tangan', u'kesan', u'sekolah', u'bekal', u'sarawak', u'tuju']","[u'senario', u'tetap', u'kolam', u'pm225', u'hal', u'takung', u'kwsp', u'lulus', u'tanam', u'2016']","[u'senario', u'sabah', u'laksana', u'bekal', u'tangan', u'elektrik', u'sarawak', u'tetap', u'sekolah', u'dar']","[u'senario', u'tetap', u'hal', u'kwsp', u'pm225', u'kolam', u'lulus', u'tanam', u'tangan', u'fgv']","[u'senario', u'sabah', u'tetap', u'laksana', u'tangan', u'kesan', u'sarawak', u'siasat', u'sekolah', u'bekal']","[u'senario', u'tetap', u'kolam', u'hal', u'pm225', u'kwsp', u'tanam', u'lulus', u'takung', u'kabotaj']","[u'senario', u'tetap', u'tangan', u'hal', u'1mdb', u'kesan', u'akibat', u'lulus', u'kwsp', u'sabah']","[u'senario', u'sabah', u'laksana', u'sekolah', u'bekal', u'tangan', u'tetap', u'kesan', u'dar', u'elektrik']","[u'senario', u'sabah', u'laksana', u'bekal', u'tangan', u'elektrik', u'dar', u'sekolah', u'tetap', u'ancang']","[u'senario', u'sabah', u'laksana', u'sekolah', u'bekal', u'tangan', u'tetap', u'elektrik', u'dar', u'sarawak']"
"[u'senario', u'sabah', u'laksana', u'sekolah', u'status', u'sarawak', u'bekal', u'tetap', u'tangan', u'libat']","[u'senario', u'tetap', u'pm225', u'lulus', u'uec', u'samping', u'kolam', u'2016', u'iktiraf', u'segera']","[u'senario', u'sabah', u'laksana', u'sekolah', u'kenderaan', u'sarawak', u'status', u'masjid', u'bangkang', u'bekal']","[u'senario', u'tetap', u'lulus', u'samping', u'pm225', u'akibat', u'uec', u'segera', u'tangan', u'iktiraf']","[u'senario', u'sabah', u'sarawak', u'laksana', u'status', u'tetap', u'sekolah', u'islam', u'tangan', u'ajar']","[u'senario', u'tetap', u'pm225', u'lulus', u'uec', u'kolam', u'samping', u'iktiraf', u'petagas', u'segera']","[u'senario', u'tetap', u'tangan', u'akibat', u'lulus', u'sarawak', u'segera', u'sabah', u'sekolah', u'iktiraf']","[u'senario', u'sabah', u'laksana', u'sekolah', u'status', u'sarawak', u'bekal', u'kenderaan', u'masjid', u'jenis']","[u'senario', u'sabah', u'sekolah', u'laksana', u'status', u'kenderaan', u'bekal', u'jenayah', u'masjid', u'sarawak']","[u'senario', u'sabah', u'sekolah', u'laksana', u'status', u'wujud', u'sarawak', u'bekal', u'suruhanjaya', u'2013']"
"[u'senario', u'laksana', u'jenayah', u'sekolah', u'sabah', u'libat', u'sarawak', u'ajar', u'tangan', u'siasat']","[u'senario', u'tetap', u'mitigasi', u'lulus', u'uec', u'2016', u'tanam', u'bajet', u'iktiraf', u'hidup']","[u'senario', u'laksana', u'jenayah', u'sekolah', u'sabah', u'libat', u'2013', u'sarawak', u'ancang', u'bayar']","[u'senario', u'tetap', u'uec', u'hidup', u'lulus', u'tangan', u'tanam', u'akibat', u'kwsp', u'mitigasi']","[u'senario', u'laksana', u'sekolah', u'jenayah', u'sabah', u'libat', u'sarawak', u'siasat', u'tangan', u'ajar']","[u'senario', u'tetap', u'uec', u'mitigasi', u'tanam', u'lulus', u'petagas', u'kwsp', u'uber', u'kolam']","[u'senario', u'tetap', u'tangan', u'akibat', u'sekolah', u'libat', u'khas', u'hidup', u'penuh', u'lulus']","[u'senario', u'laksana', u'jenayah', u'sekolah', u'sabah', u'libat', u'sarawak', u'hasrat', u'ancang', u'rancang']","[u'senario', u'jenayah', u'laksana', u'sekolah', u'sabah', u'libat', u'2013', u'm', u'ancang', u'bekal']","[u'senario', u'laksana', u'sekolah', u'jenayah', u'sabah', u'2013', u'ancang', u'rancang', u'sarawak', u'ajar']"
"[u'senario', u'laksana', u'sabah', u'tangan', u'ajar', u'status', u'sarawak', u'selesai', u'bayar', u'sekolah']","[u'senario', u'tetap', u'2016', u'kolam', u'lulus', u'hal', u'uec', u'samping', u'iktiraf', u'mitigasi']","[u'senario', u'laksana', u'sabah', u'pecah', u'bayar', u'ajar', u'pantau', u'tangan', u'jenayah', u'status']","[u'senario', u'tetap', u'hal', u'lulus', u'polisi', u'uec', u'tangan', u'kwsp', u'segera', u'kolam']","[u'senario', u'laksana', u'tangan', u'sabah', u'ajar', u'bayar', u'sarawak', u'nilai', u'status', u'diri']","[u'senario', u'tetap', u'kolam', u'hal', u'uec', u'lulus', u'uber', u'2016', u'polisi', u'petagas']","[u'senario', u'tetap', u'tangan', u'1mdb', u'lulus', u'diri', u'akibat', u'hal', u'kaji', u'melayu']","[u'senario', u'laksana', u'sabah', u'bayar', u'tangan', u'status', u'pantau', u'ajar', u'jenayah', u'belanja']","[u'senario', u'laksana', u'jenayah', u'sabah', u'pecah', u'status', u'kenderaan', u'ajar', u'tangan', u'ancang']","[u'senario', u'laksana', u'sabah', u'status', u'sekolah', u'ajar', u'jenayah', u'pecah', u'tangan', u'pantau']"
"[u'senario', u'bekal', u'sabah', u'laksana', u'tangan', u'libat', u'tuju', u'sekolah', u'status', u'jauh']","[u'senario', u'tetap', u'kolam', u'2016', u'takung', u'pm225', u'samping', u'hal', u'tangan', u'tanam']","[u'senario', u'laksana', u'bekal', u'sabah', u'libat', u'tangan', u'sekolah', u'jenayah', u'jauh', u'hasrat']","[u'senario', u'tetap', u'tangan', u'polisi', u'hal', u'segera', u'kwsp', u'kolam', u'hidup', u'libat']","[u'senario', u'tangan', u'laksana', u'sabah', u'libat', u'jauh', u'tetap', u'bekal', u'tuju', u'siasat']","[u'senario', u'tetap', u'kolam', u'pm225', u'polisi', u'tangan', u'hal', u'kwsp', u'takung', u'tanam']","[u'senario', u'tetap', u'tangan', u'1mdb', u'tuju', u'libat', u'hidup', u'segera', u'jauh', u'serius']","[u'senario', u'laksana', u'bekal', u'libat', u'sabah', u'tuju', u'tangan', u'jauh', u'sekolah', u'hasrat']","[u'senario', u'bekal', u'laksana', u'libat', u'sekolah', u'jenayah', u'sabah', u'jauh', u'tangan', u'belia']","[u'senario', u'laksana', u'bekal', u'sekolah', u'sabah', u'jauh', u'tuju', u'tangan', u'hasrat', u'jenayah']"
"[u'senario', u'laksana', u'sabah', u'jenayah', u'sekolah', u'bekal', u'suruhanjaya', u'belanja', u'tangan', u'rancang']","[u'senario', u'kolam', u'tetap', u'lulus', u'prosiding', u'2016', u'sivil', u'takung', u'tanam', u'daesh']","[u'senario', u'laksana', u'jenayah', u'sekolah', u'2013', u'suruhanjaya', u'sabah', u'bekal', u'bangkang', u'rancang']","[u'senario', u'tetap', u'kolam', u'prosiding', u'lulus', u'hal', u'tangan', u'tanam', u'kabotaj', u'kwsp']","[u'senario', u'laksana', u'sabah', u'sekolah', u'kaum', u'tangan', u'jenayah', u'tetap', u'bekal', u'kenal']","[u'senario', u'kolam', u'tetap', u'lulus', u'tanam', u'prosiding', u'takung', u'kabotaj', u'kwsp', u'sawah']","[u'senario', u'tetap', u'tangan', u'lulus', u'akibat', u'sekolah', u'serius', u'1mdb', u'kaji', u'kaum']","[u'senario', u'laksana', u'sekolah', u'jenayah', u'bekal', u'sabah', u'rancang', u'belanja', u'suruhanjaya', u'2013']","[u'senario', u'laksana', u'jenayah', u'sekolah', u'bekal', u'suruhanjaya', u'2013', u'sabah', u'rancang', u'kenderaan']","[u'senario', u'laksana', u'sekolah', u'jenayah', u'suruhanjaya', u'2013', u'rancang', u'bekal', u'dar', u'sabah']"
"[u'senario', u'laksana', u'sabah', u'belanja', u'sekolah', u'status', u'bekal', u'sarawak', u'bentuk', u'jenayah']","[u'senario', u'tetap', u'2016', u'kolam', u'bajet', u'kaji', u'takung', u'pm225', u'hal', u'kabotaj']","[u'senario', u'laksana', u'sabah', u'hasrat', u'sekolah', u'bukit', u'belanja', u'jenayah', u'suruhanjaya', u'bangkang']","[u'senario', u'tetap', u'bajet', u'kolam', u'kaji', u'jelas', u'hal', u'segera', u'akibat', u'kabotaj']","[u'senario', u'laksana', u'sabah', u'tetap', u'kaji', u'sekolah', u'kenal', u'tangan', u'sarawak', u'status']","[u'senario', u'tetap', u'kolam', u'bajet', u'kaji', u'2016', u'pm225', u'kabotaj', u'tanam', u'takung']","[u'senario', u'tetap', u'1mdb', u'kaji', u'tangan', u'akibat', u'jelas', u'hidup', u'segera', u'sekolah']","[u'senario', u'laksana', u'sabah', u'hasrat', u'sekolah', u'belanja', u'bukit', u'status', u'bekal', u'rancang']","[u'senario', u'laksana', u'sabah', u'sekolah', u'hasrat', u'bekal', u'belanja', u'jenayah', u'suruhanjaya', u'status']","[u'senario', u'laksana', u'sabah', u'sekolah', u'hasrat', u'bukit', u'belanja', u'suruhanjaya', u'jenayah', u'status']"
"[u'senario', u'laksana', u'sabah', u'ajar', u'sekolah', u'jenayah', u'libat', u'tetap', u'bekal', u'status']","[u'senario', u'tetap', u'2016', u'uec', u'samping', u'hal', u'kolam', u'rata', u'kwsp', u'petagas']","[u'senario', u'laksana', u'jenayah', u'sabah', u'kenderaan', u'sekolah', u'ajar', u'bekal', u'pulau', u'suruhanjaya']","[u'senario', u'tetap', u'uec', u'hal', u'akibat', u'segera', u'samping', u'rata', u'kolam', u'tangan']","[u'senario', u'laksana', u'tetap', u'ajar', u'sabah', u'tangan', u'sekolah', u'libat', u'jenayah', u'sarawak']","[u'senario', u'tetap', u'uec', u'kolam', u'petagas', u'samping', u'rata', u'2016', u'hal', u'kwsp']","[u'senario', u'tetap', u'1mdb', u'akibat', u'tangan', u'ajar', u'libat', u'diri', u'sekolah', u'segera']","[u'senario', u'laksana', u'ajar', u'sekolah', u'sabah', u'jenayah', u'libat', u'kenderaan', u'bekal', u'status']","[u'senario', u'laksana', u'jenayah', u'ajar', u'sekolah', u'kenderaan', u'sabah', u'bekal', u'libat', u'status']","[u'senario', u'laksana', u'jenayah', u'sekolah', u'sabah', u'ajar', u'suruhanjaya', u'rancang', u'status', u'pelan']"
